Naam fonds,Categorie,Regio / provincie,Statutaire doelstelling (samenvatting),Doelgroep,Relevant voor welk type landgoedplan,Orde grootte bedrag,Aanvraagprocedure / deadlines,Vereiste documenten voor aanvraag,Contact,Bron (URL),Status / opmerking
Cultuurfonds Noord-Holland,Provinciale Cultuurfonds-afdeling,Noord-Holland,Cultuur- en natuurprojecten van regionaal belang in Noord-Holland.,Stichtingen en verenigingen (geen particulieren),"Cultuur- en natuurprojecten, beperkte nadruk op monumentenrestauratie",Per vooraanvraag beoordeeld,"Vooraanvraag 1 mrt / 1 jun / 1 sept / 1 dec, besluit ca. 4 mnd later","Generiek Cultuurfonds-proces via aanvragen.cultuurfonds.nl: basis projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier.","noordholland@cultuurfonds.nl, 023-514 4667",https://www.cultuurfonds.nl/provinciale-afdelingen/noord-holland,"Aanvraagbaar, generieke doelgroep."
Noord-Hollands Fonds voor Monumenten (via Restauratiefonds),Publiek/hybride (buiten scope fondsen),Noord-Holland,"Provinciale leningsregeling voor monumentrestauratie, uitgevoerd door Nationaal Restauratiefonds.",Eigenaren rijks-/gemeentelijke monumenten in Noord-Holland,Restauratie monument op landgoed,Zie restauratiefonds.nl,Via restauratiefonds.nl,Zie procedure Restauratiefonds-hypotheek — navragen bij restauratiefonds.nl.,Zie restauratiefonds.nl,https://www.restauratiefonds.nl/particulier/financieren/alle-financieringen/noord-hollands-fonds-voor-monumenten,"PUBLIEK — geen privaat vermogensfonds, alleen ter info."
Cultuurfonds Zuid-Holland,Provinciale Cultuurfonds-afdeling,Zuid-Holland,Cultuur- en natuurprojecten van regionaal belang in Zuid-Holland.,Stichtingen en verenigingen,"Cultuureducatie, natuureducatie, historische tentoonstellingen",Bv. muziekregeling max €1.500/project; overig onbekend,Vooraanvraag 1 dec / 1 mrt / 1 jun / 1 sep,"Generiek Cultuurfonds-proces via aanvragen.cultuurfonds.nl: basis projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier.",zuidholland@cultuurfonds.nl; Linde Gispen 06-55449488,https://www.cultuurfonds.nl/provinciale-afdelingen/zuid-holland,"Aanvraagbaar, geen specifieke nadruk op landgoedrestauratie."
J.E. Jurriaanse Stichting,Regionaal vermogensfonds,Groot-Rijnmond (13 gemeenten rond Rotterdam),"Geschiedenis, letterkunde, archeologie, natuur, geografie, monumentenzorg, maatschappelijke ontwikkeling.",Sociale/culturele/museumprojecten binnen Groot-Rijnmond; boeken/onderzoek landelijk,"Monumentenzorg en natuurprojecten, alleen als landgoed in dit gebied ligt",Max. 50% van projectkosten,"Uitsluitend digitaal, min. 3 maanden vóór projectstart",Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Via volkskracht.nl,https://www.volkskracht.nl/de-volkskracht-stichtingen/aangesloten-stichtingen/j-e-jurriaanse-stichting/,"Aanvraagbaar, alleen binnen Groot-Rijnmond."
Cultuurfonds Zeeland,Provinciale Cultuurfonds-afdeling,Zeeland,Cultuur- en natuurprojecten van regionaal belang in Zeeland.,Stichtingen en verenigingen,"Historische publicaties/documentatie, cultuuruitingen",Niet gepubliceerd,"5 rondes/jaar: 14 sept 2025, 5 jan / 1 mei / 1 aug / 1 nov 2026","Generiek Cultuurfonds-proces via aanvragen.cultuurfonds.nl: basis projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier.","zeeland@cultuurfonds.nl, Esther Prince 06-38363946",https://www.cultuurfonds.nl/provinciale-afdelingen/zeeland,"Aanvraagbaar, geen specifieke nadruk op buitenplaatsen."
Cultuurfonds Noord-Brabant,Provinciale Cultuurfonds-afdeling,Noord-Brabant,Cultuur- en natuurprojecten van regionaal belang in Noord-Brabant.,Uitsluitend stichtingen en verenigingen,"Buurtcultuur, natuur/waterprojecten, erfgoed (geen specifieke buitenplaats-nadruk)",Bv. 'Schoolpleinen van de Toekomst' max €10.000 (70% van kosten),"5 rondes/jaar: 3 okt 2025, 5 jan / 1 apr / 1 jul / 1 okt 2026","Generiek Cultuurfonds-proces via aanvragen.cultuurfonds.nl: basis projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier.","noordbrabant@cultuurfonds.nl, 073-6812209",https://www.cultuurfonds.nl/provinciale-afdelingen/noord-brabant,Aanvraagbaar.
Brabants Erfgoedfonds (via Restauratiefonds),Publiek/hybride (buiten scope fondsen),Noord-Brabant,"Provincie Noord-Brabant financiert, Nationaal Restauratiefonds voert leningsregeling uit.",Eigenaren rijks-/gemeentelijke monumenten en cultuurhistorisch waardevolle gebieden,Restauratie monument op landgoed,"€10.000 - €1.000.000 per aanvraag (max €2.500.000/aanvrager), rente 1,9%",Via restauratiefonds.nl,Zie procedure Restauratiefonds-hypotheek — navragen bij restauratiefonds.nl.,"Remco Vos, 088-2539020, financieringen@restauratiefonds.nl",https://www.restauratiefonds.nl/zakelijk/financieren/alle-zakelijke-financieringen/brabants-erfgoedfonds,"PUBLIEK — geen privaat vermogensfonds, alleen ter info."
Cultuurfonds Limburg,Provinciale Cultuurfonds-afdeling,Limburg,Ondersteuning van cultuur- en natuurprojecten in Limburg.,Stichtingen en verenigingen,"Cultuur- en natuurprojecten op landgoed, algemeen",Niet gepubliceerd,Zie provinciale afdelingspagina,"Generiek Cultuurfonds-proces via aanvragen.cultuurfonds.nl: basis projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier.",Zie cultuurfonds.nl,https://www.cultuurfonds.nl/provinciale-afdelingen/limburg,"Aanvraagbaar; regionale afdeling van landelijk fonds, geen zelfstandig Limburgs fonds."
Beusmans-Jeurissen Fonds (bij Stichting Limburgs Landschap),Regionaal fonds op naam,Limburg (regio Sittard),Veiligstellen van waardevolle landschappen en natuurgebieden in Limburg.,"In de praktijk alleen t.b.v. 3 vaste projecten van Limburgs Landschap (Ruïne Stein, Spaubekerbos, Marissen)",Landschaps-/terreinaankoop en -herstel,€3.900 - €62.700 per toekenning,Geen publiek aanvraagformulier — loopt via Limburgs Landschap zelf,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Via beusmans-jeurissenfonds.nl,https://beusmans-jeurissenfonds.nl/project/stichting-limburgs-landschap/,Geen open aanvraagloket voor externe landgoedeigenaren.
Elisabeth Strouven Fonds,Regionaal vermogensfonds,"Zuid-Limburg (Maastricht, Meerssen, Valkenburg a/d Geul, Eijsden-Margraten, Gulpen-Wittem, Vaals)","Bijdragen aan een leefbare samenleving; programmalijn 'Natuur': behoud, beheer en ontwikkeling van natuur en biodiversiteit.",Niet expliciet uitgesloten voor particuliere landgoedeigenaren in werkgebied,"Natuurontwikkeling, natuurinclusieve landbouw, biodiversiteit, natuureducatie",Niet gepubliceerd,Via 'Aanvragen'-pagina op website,"Online formulier (5 pagina's): organisatiegegevens, IBAN/BIC + recent bankafschrift, KVK-nummer, statutaire doelstelling, projectgegevens (doel/doelgroep/begroting/eigen middelen), losse bijlage met motivatie/begroting/businessplan. Vanaf €5.001: definitieve begroting/dekkingsplan + cofinanciering vereist (bijdrage fonds max. 25% van de kosten); vanaf €25.000: accountantsverklaring bij verantwoording.","(043) 763 08 99, info@elisabethstrouven.nl",https://www.elisabethstrouvenfonds.nl/natuur/,"Aanvraagbaar, sterk regionaal beperkt (6 zuidelijkste gemeenten)."
Cultuurfonds Fryslân,Provinciale Cultuurfonds-afdeling,Friesland,Cultuur- en natuurprojecten van regionaal belang in Friesland.,Stichtingen en verenigingen,"Cultuur- en natuurprojecten op landgoed, algemeen",Niet gepubliceerd,Zie provinciale afdelingspagina,"Generiek Cultuurfonds-proces via aanvragen.cultuurfonds.nl: basis projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier.",Zie cultuurfonds.nl,https://www.cultuurfonds.nl/provinciale-afdelingen/friesland,Aanvraagbaar. Zie ook Van Enter-Westerman Holstijn Fonds.
Van Heloma Stichting,Regionaal vermogensfonds (familiefonds),Friesland (nadruk Heerenveen e.o.),"Eer aan naam/nalatenschap van de Friese familie Van Heloma; behoud cultureel erfgoed, natuur en karakteristiek landschap.",Non-profitorganisaties in Fryslân (buiten Heerenveen strenger beoordeeld),"Cultuurhistorisch erfgoed, natuur- en landschapsbehoud op landgoed",Niet gepubliceerd,"Aanvraag per e-mail, reactie binnen 2-4 mnd, geen vaste deadline","Projectplan, begroting, dekkingsplan. Onlineformulier was t.t.v. onderzoek offline — per e-mail (info@vanhelomastichting.nl) met organisatienaam, contactpersoon, adres, telefoon, website, gevraagd bedrag, eerdere aanvraaghistorie, toelichting.",info@vanhelomastichting.nl,https://vanhelomastichting.nl/aanvragen/,"Aanvraagbaar. Uitgesloten: verenigingsgebouwen, dorpshuisrenovatie, hedendaagse muziek/theater."
Stichting Bouwcultuurfonds Friesland,Regionaal vermogensfonds,Friesland,"Behoud van bouwkundig monumentale gebouwen in Fryslân, bevorderen bouwcultuur/ambacht.",Eigenaren van (rijks)monumenten met cultuurhistorische en/of landschappelijke waarde,Restauratie/renovatie monumentale gebouwen op landgoed (geen nieuwbouw),"Aanvullende bijdrage (dekt niet heel project), hoogte niet gepubliceerd","Adviescommissie 3x/jaar, bestuur 2x/jaar; aanvraag uiterlijk 3 weken voor vergadering","Onlineformulier met 'Uw aanvraag' + 'Gegevens rijksmonument': kostenraming/begroting, financieringsplan. Geen expliciete KVK-/jaarrekening-/statutenlijst gepubliceerd — vermoedelijk via het formulier zelf gevraagd.",Via aanvraagformulier op website,https://www.bouwcultuurfondsfriesland.nl/aanvragen,"Aanvraagbaar, direct relevant voor landgoedopstallen."
Meindersma-Sybenga Stichting,Regionaal vermogensfonds,"Friesland (prioriteit), dan Noordoost-Nederland, dan overig NL",Restauratie/verduurzaming monumentale kerken en orgels; monumentbehoud; behoud natuurwaarden en cultuurlandschap; cultuur/maatschappelijke initiatieven t.b.v. Friesland.,Uitsluitend ANBI-instellingen; particulieren/semi-commerciële partijen uitgesloten; medefinanciering vereist,Monumentbehoud en cultuurlandschap op landgoed,Niet gepubliceerd,Schriftelijk verzoek aan secretaris met begroting/financieringsplan,"Beschrijving aanvrager, inhoudelijke projectbeschrijving, motivatie, begroting + dekkingsplan, inzicht in financiële positie aanvrager. Schriftelijk per post aan de secretaris (T. Okkema) — geen onlineportaal of e-mail.","T. Okkema (secretaris), taekeokkema@hotmail.com, 06-44296631",https://stichting.moment.online/meindersma-sybenga-stichting,"Aanvraagbaar, alleen ANBI-stichtingen."
P.W. Janssen's Friesche Stichting,Regionaal vermogensfonds,Friesland en Amsterdam,Particulier vermogensfonds ter ondersteuning van maatschappelijke initiatieven binnen Friesland en Amsterdam.,"Breed maatschappelijk, niet specifiek op landgoederen gericht","Beperkt relevant, algemeen maatschappelijk",Niet gepubliceerd,Zie eigen website,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,fryslan@pwjanssen.nl,https://pwjanssen.nl/stichting/,Beperkte relevantie voor landgoederen specifiek.
Hedwig Carolina Stichting,Regionaal donatie-instrument,Friesland / Overijssel (via It Fryske Gea),Steunt het natuurbeschermingswerk van It Fryske Gea en Landschap Overijssel.,"Loopt via It Fryske Gea zelf, geen los aanvraagloket voor derden","Natuurbescherming, restauratie cultuurhistorisch park (bv. Slottún Rijs)",Niet gepubliceerd,N.v.t. (loopt via It Fryske Gea),Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Via itfryskegea.nl,https://www.itfryskegea.nl/organisatie/steun-ons/fondsen-en-stichtingen/,Geen direct aanvraagloket voor externe landgoedeigenaren.
Cultuurfonds Groningen,Provinciale Cultuurfonds-afdeling,Groningen,Cultuur- en natuurprojecten van regionaal belang in Groningen.,Stichtingen en verenigingen,"Cultuur- en natuurprojecten op landgoed/borg, algemeen",Niet gepubliceerd,Zie provinciale afdelingspagina,"Generiek Cultuurfonds-proces via aanvragen.cultuurfonds.nl: basis projectplan, begroting, KVK-uittreksel; volledige lijst dynamisch in formulier.",Zie cultuurfonds.nl,https://www.cultuurfonds.nl/provinciale-afdelingen/groningen,"Aanvraagbaar (afgeleid van landelijke structuur, niet apart bevestigd in onderzoek)."
Monumentenfonds - Vereniging Stad en Lande,Regionaal vermogensfonds,Groningen,"Financiering van kleine, specifieke monumentrestauraties in de provincie Groningen (o.a. borgen/landgoedgerelateerd erfgoed).",Vermoedelijk particuliere eigenaren van kleinere monumenten in Groningen (niet volledig te bevestigen),Kleinschalige monumentrestauratie op landgoed/borg,Niet vastgesteld,Niet vastgesteld — rechtstreeks contact aanbevolen,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Via verenigingstadenlande.nl,https://www.verenigingstadenlande.nl/monumentenfonds/,Handmatig verifiëren — website blokkeerde geautomatiseerde toegang. Beste match voor Groningse landgoederen/borgen.
J.B. Scholtenfonds & H.S. Kammingafonds,Regionaal vermogensfonds,Groningen,Kammingafonds: geestelijke/stoffelijke verheffing van de bevolking van Groningen. Scholtenfonds: lenigen van sociale/culturele noden en stimuleren van sociale/culturele activiteiten in Groningen.,Brede bevolking/organisaties in provincie Groningen,"Cultuurhistorische/monumentprojecten kunnen in aanmerking komen, niet landgoed-specifiek",Niet gepubliceerd,Aanvraagformulier + bijlagen per mail; behandeltermijn max. 3 mnd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Scholtenkammingafonds@provinciegroningen.nl,http://jbs-hsk.nl/oprichting-doelstellingen,"Aanvraagbaar, secretariaat loopt via de provincie maar vermogen is particulier."
Stichting Geert Ruben Fonds,Regionaal fonds op naam,Slochteren e.o. / Zeven Zanddorpen en Zuidlaren (Groningen),Restauratie van cultuurhistorisch waardevolle gebouwen en landschapselementen in dat gebied.,Organisaties/eigenaren in het genoemde kleine werkgebied,Restauratie gebouw/landschapselement op landgoed,Niet gepubliceerd,Niet vastgesteld,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Zie anbi.nl publicatie,https://anbi.nl/publicatieverplichting/stichting-geert-ruben-fonds/,Te kleinschalig/lokaal voor provinciebreed gebruik.
Han Lammers Fonds / Lelyprijs (Commissaris van de Koning Flevoland),Regionale prijs (geen restauratiefonds),Flevoland,Jaarlijkse prijzen voor talent resp. cultuur/natuur-verdienste in Flevoland.,Individuen/organisaties genomineerd voor de prijs,Niet bruikbaar als restauratie- of ontwikkelingsfonds,"€5.000 (prijs, geen aanvraagbaar fonds)","N.v.t. (prijs, geen aanvraag)",Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Zie flevoland.nl,https://www.flevoland.nl/wie-zijn-we/commissaris-van-de-koning/fondsen,GEEN aanvraagbaar fonds — jaarlijkse prijs.
Gieskes Strijbis Fonds,Landelijk vermogensfonds (familiefonds),Landelijk (Koninkrijk der Nederlanden),"'Positieve verandering in de samenleving' stimuleren via vernieuwende, impactvolle projecten; werkvelden Natuur & Milieu, Kunst & Cultuur, Democratie & Rechtsstaat, Medisch Onderzoek.","Rechtspersonen (geen particulieren); werkt overwegend op uitnodiging, maar projectsuggesties zijn welkom","Natuurontwikkeling, biodiversiteit, natuurinclusieve landbouw/landschapstransitie (bv. financiert Wij.land)","Groot: gemiddeld ca. €275.000/project in 2025 (35 projecten, €9,6 mln); richtbedrag vanaf ca. €75.000/jaar, looptijd 2-5 jaar",Projectsuggestie via aanvragen.gieskes-strijbisfonds.nl; geen vaste deadlines,Projectsuggestie met korte omschrijving; bij honorering aanvullende documentatie op verzoek (niet in detail gepubliceerd),"kantoor@gieskes-strijbisfonds.nl, 06 270 626 83",https://www.gieskesstrijbisfonds.nl/over-het-fonds/,"Aanvraagbaar (via projectsuggestie), medefinanciering gewenst. Dit is het fonds waar de gebruiker zelf op wees (financiert Wij.land) — precies het type fonds dat trefwoord-zoeken op 'landgoed/erfgoed' mist."
Adessium Foundation,Landelijk vermogensfonds (familiefonds),Landelijk / internationaal,"Streven naar een vrije, duurzame en rechtvaardige samenleving; programma 'Nature and Living Environment' relevant voor natuurherstel.",GEEN open aanvraagprocedure — uitsluitend gevestigde non-profitorganisaties die zelf worden benaderd,"Natuurherstel/rewilding, transitie naar duurzame landbouw (indirect, via NGO's als ARK Rewilding NL, Commonland)","Jaarbudget 2025: €18,7 mln verdeeld over 95 organisaties, 83% meerjarig","N.v.t. — invitation only, geen open aanvraagloket",N.v.t.,"info@adessium.org, +31 182 646100",https://www.adessium.org/,NIET rechtstreeks aanvraagbaar voor individuele landgoedeigenaren — alleen relevant via samenwerking met een grote natuurorganisatie.
DOB Ecology,Landelijk vermogensfonds (familiefonds),Landelijk / internationaal,Bescherming en herstel van bedreigde ecosystemen (met name wetlands en bossen) samen met lokale partners.,"GEEN open aanvraagprocedure — expliciet 'we do not work with open calls', alleen geselecteerde partners","Ecosysteemherstel, wetlands/bosherstel, biodiversiteit",Niet gepubliceerd,"N.v.t. — gesloten netwerk, ongevraagde voorstellen niet in behandeling",N.v.t.,Gevestigd in Veessen,https://dobecology.nl/,NIET rechtstreeks aanvraagbaar — gesloten fonds.
Triodos Foundation,Landelijk vermogensfonds,Landelijk,"Donaties aan maatschappelijke initiatieven; themafonds 'Natuur & Biodiversiteit' beschermt grond, bodemleven/insecten en ecosysteembalans.","In Nederland gevestigde/actieve rechtspersonen met ervaren bestuur (min. 3 onafhankelijke leden), professioneel financieel beheer","Biodiversiteit, natuurontwikkeling — project moet regionale impact hebben (500-1.000+ mensen bereiken) en al minstens 1 andere financier hebben",Doorgaans €5.000-€20.000; projecten boven €300.000 maken minder kans,4 stappen: thema-check → quickscan → volledig formulier → beoordeling per e-mail; 4 kwartaaldeadlines (besluit juni/sept/dec/mrt),"Projectplan, begroting, statuten, jaarverslag (via volledig formulier na quickscan)",https://www.triodosfoundation.nl/contact,https://www.triodosfoundation.nl/themaschenken/natuur-en-biodiversiteit,"Aanvraagbaar, geen individuele landgoedeigenaren zonder rechtspersoon/bestuur van min. 3 personen."
ASN Foundation,Landelijk vermogensfonds,Landelijk,"Bijdragen aan een duurzamer en eerlijker Nederland via 3 thema's: Duurzaamheid (natuur, klimaat, leefomgeving), Goed Wonen, Financiële Zelfredzaamheid.",Uitsluitend organisaties met ANBI-status,"Natuurontwikkeling, biodiversiteit, klimaatadaptatie","Niet gepubliceerd, kwartaalbeoordeling door bestuur",Aanvraagformulier op asnbank.nl/over-asn-bank/asn-foundation.html,ANBI-status verplicht; verdere documentenlijst niet gepubliceerd,Via asnbank.nl,https://www.asnbank.nl/over-asn-bank/asn-foundation.html,"Aanvraagbaar, alleen ANBI-stichtingen/verenigingen."
Rabo Foundation / lokaal Rabobank Coöperatiefonds,Landelijk + lokaal vermogensfonds,Landelijk (Rabo Foundation) / lokaal per Rabobank-vestiging,"Rabo Foundation: wereldwijd bijdragen aan zelfredzaamheid (NL: inclusieve arbeidsmarkt, sociaal ondernemen). Coöperatiefondsen: lokale/regionale maatschappelijke projecten incl. voedseltransitie.",Lokale verenigingen/stichtingen met Rabobank-rekening en KVK-inschrijving; project publiek toegankelijk,"Natuurinclusieve landbouw, lokale biodiversiteit/leefomgeving (vooral via lokale coöperatiefondsen, niet Rabo Foundation zelf)","Rabo Foundation: €66 mln/500+ projecten wereldwijd in 2025; coöperatiefonds: bedrag per lokale bank verschillend, nooit 100% financiering","Coöperatiefonds: regionaal portaal per Rabobank-vestiging, kwartaaldeadlines (bv. Friesland 1 mrt/1 jun/1 sep/15 nov)",Niet gepubliceerd — verschilt per lokale bank,"Regio-afhankelijk, bv. communicatie.FRL@rabobank.nl voor Friesland",https://www.rabobank.nl/lokale-bank/cooperatiefonds,"Aanvraagbaar via lokale Rabobank; sterk gedecentraliseerd, 1x per 2 jaar aan te vragen."
Contribute Foundation,Landelijk vermogensfonds,Landelijk,Steun aan initiatieven die 'het hart raken' en na de bijdrage zelfstandig kunnen voortbestaan.,Uitsluitend Nederlandse stichtingen met ANBI-status,"Breed inzetbaar, geen specifiek natuurthema maar bruikbaar voor ANBI-stichting rond een landgoed","Klein: tot €5.000 eenmalig; groter vanaf €5.000, evt. meerjarig (max. 3 jaar)","Onlineformulier, indienen min. 4 maanden voor projectstart, doorlooptijd ca. 4 maanden","Stichtingsbeschrijving, lange-termijnvisie, doelen, uitvoeringsmethode, gedetailleerde begroting (incl. btw), recente jaarrekening",Via contribute.nl,https://www.contribute.nl/portal-contribute/aanvraag-doen,"Aanvraagbaar, alleen ANBI-stichtingen."
Veenweidefonds (bij Wij.land),Regionaal innovatiefonds,"Westelijk veenweidegebied (Noord-Holland, Utrecht, Zuid-Holland)","Innovatieve ideeën in het veenweidegebied helpen van tekentafel naar praktijk, gericht op een gezond, biodivers en veerkrachtig veenweidelandschap.",Ondernemers/boeren/innovatoren met KVK-inschrijving; natuurlijke personen kunnen niet zelfstandig aanvragen,"Veenweide/water, natuurinclusieve landbouw, biodiversiteit, klimaatadaptatie","Max. €25.000 per project, richtbedrag €10.000-€15.000",Spelregels lezen → aanvraagformulier → tijdlijn en begroting (sjabloon) → per e-mail indienen; besluit binnen 6 weken,"Aanvraagformulier, tijdlijn, begroting (sjabloon aangeleverd door fonds)","Pim Menkveld, p.menkveld@wij.land / veenweidefonds@wij.land, +31 6 28 52 70 04",https://wij.land/doe-mee-met-regeneratieve-landbouw/veenweidefonds/,"Aanvraagbaar, zeer relevant voor landgoederen in het westelijke veenweidegebied."
Dinamo Fonds,Landelijk vermogensfonds,Landelijk,"Herstel van biodiversiteit via een natuurinclusieve aanpak die dierenwelzijn, natuur, landschap en erfgoed verbindt.","Organisaties in dieren, natuur en monumentenbehoud","Natuurherstel/biodiversiteit met erfgoedcomponent (landgoedbossen/parken), ook restauratie sculpturen/vazen op landgoed (Mattemburgh)",Niet gepubliceerd,Aanvraagronde 2027 open via eigen website,Niet gepubliceerd — navragen,"info@dinamofonds.nl, 020-8209092",https://dinamofonds.nl/wat-we-doen,Aanvraagbaar.
COmON Foundation,Landelijk vermogensfonds,Internationaal (mogelijk ook NL-projecten),"'Greening the planet through landscape restoration' — wereldwijd grootschalig landschapsherstel, partner van Commonland.",Landschapsherstelprogramma's/partners zoals Commonland,Grootschalig landschapsherstel (4-returns-aanpak),Niet gevonden,Niet gevonden — waarschijnlijk invitation-only via partnerschappen,Niet gevonden,Zie comon.earth,https://commonland.com/partner/comon-foundation/,Onduidelijk of rechtstreeks aanvraagbaar — nader te verifiëren.
ForestPeace Foundation,Klein vermogensfonds (onderdeel Fred Foundation),Landelijk / internationaal,"Bevorderen van het voortbestaan van het ecologisch systeem: natuurherstel, ecologische landbouw, bosontwikkeling, natuureducatie, met sociale component.","GEEN open aanvraagprocedure — 'we decide which initiatives we are going to back, you cannot submit applications'","Rewilding, natuurinclusieve/regeneratieve landbouw (bv. steunt ARK Rewilding NL, Lenteland)",Niet gepubliceerd,N.v.t. — gesloten selectie,N.v.t.,"Postbus 240, 1200 AE Hilversum",https://fredfoundation.org/en/forestpeacefoundation/,NIET rechtstreeks aanvraagbaar.
Trees for All (incl. GroenDoen Fonds),Landelijke stichting/fonds,Landelijk,Bijdragen aan een bosrijke wereld door aanplant van nieuw bos en herstel van bestaand bos; CO2-compensatie via aanplant.,Grondeigenaren (incl. landgoederen) met grond met wettelijke natuurbestemming; GroenDoen Fonds: stichtingen/verenigingen met min. 10 betrokkenen,"Bosaanplant/landschapselementen op landgoed, klimaatadaptatie",GroenDoen Fonds: €500-€5.000 per project; hoofdprogramma niet gepubliceerd (maatwerk),"Hoofdprogramma: projectvoorstel indienen; GroenDoen Fonds: formulier + 'Groene Belofte' (handtekeningen 10 deelnemers) mailen, besluit binnen 6 weken, planten binnen 12 mnd","Kaarten, beplantingsplan, kostenraming, financieringsplan (hoofdprogramma); formulier + Groene Belofte (GroenDoen Fonds)",info@treesforall.nl / groendoenfonds@treesforall.nl,https://treesforall.nl/onze-uitgangspunten/,"Aanvraagbaar. Voorwaarden: openbare toegankelijkheid, inheemse soorten, additionaliteit."
Bomenfonds (Bomenstichting),Landelijk themafonds,Landelijk,"Eigenaren van monumentale bomen tegemoetkomen in onderhoudskosten, gevoed uit het Jo Bergacker Fonds op Naam bij het Cultuurfonds.","Particuliere eigenaren, kleine verenigingen, stichtingen, kerkgenootschappen met bomen in het Landelijk Register van Monumentale Bomen",Onderhoud monumentale bomen op landgoed,Indicatie regionaal Bomenfonds Deventer: ca. €1.500 per boom per 5 jaar,"Aanvraag via monumentalebomen.nl > 'Subsidie'; werk mag pas starten na toekenning, geen andere subsidie toegestaan","Foto's en offerte van ETW-gecertificeerd boomverzorgingsbedrijf, onderhouds-/instandhoudingsplan",Via bomenstichting.nl,https://www.bomenstichting.nl/monumentalebomen/bomenfonds.html,"Aanvraagbaar, specifiek voor monumentale bomen op landgoed."
Scheltema-Breet Natuurfonds (Cultuurfonds),Landelijk themafonds (Cultuurfonds),Landelijk,"Stimuleert natuurbehoud in Nederland: grondaankoop, natuurontwikkeling, onderzoek, educatie.",Natuurorganisaties/terreinbeherende organisaties,"Natuurontwikkeling, grondaankoop voor natuur",Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,"Zelfde generieke Cultuurfonds-proces: projectplan, begroting, KVK-uittreksel",cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/scheltema-breet-natuurfonds,Aanvraagbaar.
Jacob van Zijverden Fonds (Cultuurfonds),Landelijk themafonds (Cultuurfonds),Landelijk,"Natuurbehoud met nadruk op ecologische landbouw/veeteelt; >80 projecten gesteund, incl. grondaankopen.","Natuurorganisaties, agrarische natuurinitiatieven",Natuurinclusieve/ecologische landbouw en veeteelt op landgoed,Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,"Zelfde generieke Cultuurfonds-proces: projectplan, begroting, KVK-uittreksel",cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/jacob-van-zijverden-fonds,"Aanvraagbaar, direct relevant voor landgoederen met natuurinclusieve landbouw."
Hinderrust Fonds (Cultuurfonds),Landelijk/regionaal themafonds (Cultuurfonds),Tussen Amsterdam en Utrecht,"Draagt bij aan de zorg voor cultuur en cultuurlandschap, bij voorkeur in het gebied tussen Amsterdam en Utrecht.",Organisaties werkzaam aan cultuurlandschap in dat gebied,Cultuurlandschapsbehoud op landgoed tussen Amsterdam en Utrecht — exact het type fonds dat geen 'landgoed/erfgoed'-taal gebruikt,Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,"Zelfde generieke Cultuurfonds-proces: projectplan, begroting, KVK-uittreksel",cultuurfonds.nl/contact,https://fondseninnederland.nl/fonds/hinderrust-fonds,"Aanvraagbaar. Gevonden via volledige FIN-registersweep, niet via 'landgoed'-zoekopdrachten — bevestigt waarom brede naam-triage nodig is."
Fonds Kleinschalige Projecten Natuureducatie (Cultuurfonds),Landelijk themafonds (Cultuurfonds),Landelijk,Financieel ondersteunen van educatieve projecten op het gebied van natuurbehoud.,Organisaties/instellingen die natuureducatie verzorgen,Natuureducatieprogramma op landgoedlocatie,Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,"Zelfde generieke Cultuurfonds-proces: projectplan, begroting, KVK-uittreksel",cultuurfonds.nl/contact,https://www.cultuurfonds.nl/fondsen/fonds-kleinschalige-projecten-natuureducatie,Aanvraagbaar.
